0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,0,0,9,0,0,0, 
0,0,0,0,14,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,12,0,11,0,0, 
0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0, 
0,0,0,0,0,23,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,29,0,0,0, 
15,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0, 
0,0,12,23,0,0,11,0,0,0,18,11,0,0,0,0,0,0,20,0,0,0,0,0,8,0, 
0,0,9,0,0,11,0,0,0,11,0,0,0,0,15,0,13,0,15,0,0,0,0,0,0,0, 
0,0,0,0,16,0,0,0,0,0,0,13,9,0,0,0,0,13,13,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,6,0,0,0, 
0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,25, 
0,0,0,0,0,18,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0,10,0,0, 
0,0,0,10,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0, 
0,12,0,0,0,0,0,9,17,10,15,0,0,0,0,0,11,12,0,0,13,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
0,14,0,0,0,0,15,0,0,0,0,0,0,0,0,19,0,0,0,14,0,0,0,0,0,0, 
0,0,0,13,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17, 
0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0, 
13,0,0,0,0,0,0,13,0,0,14,0,12,0,0,0,0,0,0,0,0,10,0,0,5,0, 
0,0,0,0,0,20,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,7,0, 
22,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,22,0, 
0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,13,0,0,0,0, 
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,17,0, 
9,0,11,29,0,0,0,0,6,0,0,12,0,0,0,0,0,0,16,0,0,0,0,22,0,0, 
0,11,14,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,21,0,0,0,22,0,21,0, 
0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,5,7,22,0,17,0,21,0,0, 
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0, 
